app_id,number_of_downloads,standard,standard_reason
11,100K+,Good Standard,"The privacy policy by AceTools Team for their app ""Open Chat - GPT AI bot app"" meets the Good Standard Assessment based on GDPR Article 5 criteria.
- It states its lawful basis for data processing clearly and uses simple language, meeting the Lawfulness, Fairness, and Transparency criterion.
- It also specifies the purposes for data collection and ensures the data won't be used for incompatible purposes (Purpose Limitation) such as in section 2 mentioning their purpose for information collection.
- Data Minimization is seen where the policy states the specific types of data collected and emphasizes only collecting essential information for identified purposes.
- The policy shows the Accuracy of users' data by providing them rights to update their information as stated in section 6, right to update your information.
- It also specifies the Storage Limitation, saying data is held no longer than necessary to heal with the stated purposes and as required by law in section 5, data retention.
- Lastly, the policy fulfills Integrity and Confidentiality with adequate security measures like accepted standards for data protection mentioned in section 4, data security."
12,100K+,Good Standard,"The policy shows the following:
Lawfulness, Fairness, and Transparency: The policy states the legal basis for data collection, usage, and disclosure of personal information and the kind of data being collected (email, device type, IP address, etc.).
Purpose Limitation: It specifies that the data collected will be used for improving services, complying with legal requirements, resolving issues, etc.
Data Minimization: The application will only collect necessary data like IP address, device ID and user details to improve the service, analyze demographics and meet legal obligations.
Accuracy: Users can contact support to update their personal information.
Storage Limitation: The policy mentions retention periods and states that data will be stored for as long as necessary to provide services and comply with legal requirements.
Integrity and Confidentiality: There are measures in place to secure personal data. Security practices include regular system monitoring and updating of physical, technical and organizational measures. Users can also report if they believe their information is no longer secure.
The policy does not explicitly mention data encryption. However, it does promise to ""use commercially acceptable means of protecting it"". Although the language could be clearer and more specific at places, it largely follows the principles of GDPR Article 5 and can be classified as of Good Standard."
13,100K+,Good Standard,"The reason is that the privacy policy of AI Chat GPT Tech Studio adheres to the principles of Good Standard Assessment based on GDPR Article 5. These include:
Lawfulness, Fairness, and Transparency: The policy clearly states how it collects, uses, stores and discloses users' personal information. It also mentions that users consent to these processes by providing their personal information. The policy language is relatively easy to understand.
Purpose Limitation: The policy outlines specific reasons for data collection such as enabling access to their website, apps, for advertising and marketing and to comply with legal obligations.
Data Minimization: It explains the types of personal information collected, which seem to be necessary for the services provided.
Accuracy: The policy includes mechanisms for collecting accurate data.
Storage Limitation: While the policy does not define clear retention periods, it does confirm that users' photographs are used only for generating their content and not for any other purpose.
Integrity and Confidentiality: Although the policy does not specify security measures like encryption, it reaffirms the commitment of the company to protect and respect users' privacy."
14,100K+,Bad Standard,"The document does not clearly explain how personal data is processed, for what explicit purposes it is used, nor does it state legal grounds for the processing. The policy lacks clear information on data minimization principles, i.e., it does not show that only necessary data is collected. There is no clear mention of how the service ensures data accuracy and mechanisms for users to correct their data. Furthermore, the policy does not define its data retention periods and criteria. Finally, it does not clearly describe any security measures (like encryption or regular security assessments) in place to protect data."
15,100K+,Good Standard,"The privacy policy of the VoiceGPT App adheres to many of the principles outlined in GDPR Article 5:
1. Lawfulness, Fairness, and Transparency: The policy outlines the legal basis for data processing, disclosing openly how data is collected, utilized, and shared. The language used is simple and understandable.
2. Purpose Limitation: It is clear that the data collection is mainly for functioning of specific features like ""Share Conversation"" and ""RunGPT."" It is mentioned specifically that they do not use data for other purposes without user consent.
3. Data Minimization: The policy clarifies that they do not store any personal data related to login or registration. Data storage happens mainly when a user opts to use the ""Share Conversation"" feature.
4. Accuracy: While the policy doesn't explicitly mention measures for ensuring data accuracy, users have the right to request removal of their conversation data, which implies potential for correction.
5. Storage Limitation: The policy mentions that they do not store data beyond what is needed for the stated purpose. However, it could be improved by providing more specifics about data retention periods.
6. Integrity and Confidentiality: The policy mentions the use of industry-standard security measures to protect data. There is a procedure in place to notify users in case of a data breach.
While the policy fulfills most GDPR standards, it could be improved further by explicitly stating measures for ensuring data accuracy and defining clear data retention periods."
16,100K+,Bad Standard,"The privacy policy is missing clear definitions and limitations on the purpose of data collection. It does not clarify measures to ensure data accuracy, has no specific details regarding storage limitation such as retention periods and data deletion process, and does not explicitly state any adequate security measures such as encryption or regular security assessments. Therefore, this does not meet the criteria to be considered as a Good Standard."
17,100K+,Bad Standard,"The privacy policy does not meet the standard based on the GDPR Article 5. Here are the reasons in order of the listing:
- Lawfulness, Fairness, and Transparency: The policy does cover the types of data collected but it does not clearly state the legal basis for data processing. The language used is also not the simplest and not all users may understand how their data will be used.
- Purpose Limitation: The policy defines some purposes for data collection but they are not limited. There are several mentions of data being used for “other purposes” which is vague and open-ended.
- Data Minimization: While the policy defines the types of data collected, it does not clarify that only necessary data is collected. The amount of data collected seems excessive, including IP addresses, operating system information, browser types, and so on.
- Accuracy: There are no mechanisms or measures in place for users to update or correct their data in the policy.
- Storage Limitation: The policy does not specify any retention periods or mention a process for data deletion or anonymization after the purpose is fulfilled.
- Integrity and Confidentiality: Although the policy states that the company takes ""appropriate technical and organizational measures"", specific practices like encryption and regular security assessments are not mentioned."
18,100K+,Good Standard,"The privacy policy of RAWSTHORN LTD is up to the Good Standard for the following reasons. It has:
1. Lawfulness, Fairness, and Transparency: The policy clearly defines its legal basis for data processing and how the personal data will be handled. The language used is simple and comprehensible (e.g., the company provides a comprehensive explanation of ""Personal data"" and how it's gathered).
2. Purpose Limitation: The policy discloses the purposes of data collection, which include service delivery, testing, monitoring, communication, advertising, and fraud prevention. Any new purposes would be communicated to users.
3. Data Minimization: The policy outlines that the app collects only necessary data to deliver its services (e.g., Functional Information, Application Information, Log File Information, Ad-related information)
4. Accuracy: The policy offers users the right to request the correction, amendment, or updating of their data, ensuring data accuracy.
5. Storage Limitation: The policy indicates that user data is stored as long as the user profile exists or is required to provide the relevant services. It also notes that certain data may be retained for a limited period if required by law.
6. Integrity and Confidentiality: The policy outlines security measures such as encryption and data minimization practices to protect user data."
19,100K+,Bad Standard,"The privacy policy does not fully meet Good Standard criteria as defined by GDPR Article 5. The policy fails on the following aspects:
1. ""Lawfulness, Fairness, and Transparency"": Although the language is simple and straightforward, the legal basis for data processing is not disclosed.
2. ""Data Minimization"": The policy states that PII, such as name, email address, device information, location information, and feedback or bug log report, is collected only when users voluntarily contact them, without providing clarity on the necessity of each data piece.
3. ""Accuracy"": No mechanism is highlighted for users to modify or update their data.
4. ""Storage Limitation"": The policy does not define any data retention periods or processes for data deletion or anonymization after the stated purpose is satisfied.
5. ""Integrity and Confidentiality"": No specific data security measures like encryption or regular security assessments are mentioned in the policy."
20,100K+,Bad Standard,"The reason is brief: the provided content does not include any sections of a privacy policy for evaluation, an error message is present instead."
21,100K+,Bad Standard,"Although the policy does cover some elements of Good Standard. It doesn't fully promote Transparency, Purpose Limitation, Data Minimization, Accuracy, Storage Limitation and Integrity and Confidentiality. For Transparency and Purpose Limitation, the policy just states that it will use user's data to improve its services and for contacting users without defining the specific ways data is processed for these purposes. For Data Minimization, the policy doesn't demonstrate an emphasis on limiting data collection to what is essential for the stated purpose. There's no mention of users' ability to update or correct their data whatsoever, which undermines Accuracy. The policy doesn't specify any time period for data storage, which makes it questionable from the viewpoint of Storage Limitation. Finally the policy does not provide any information on the security measures in place to protect user data, ignoring the aspect of Integrity and Confidentiality."
22,100K+,Good Standard,"The privacy policy of Aiway seems to uphold a good standard when judged against GDPR Article 5 considerations.
It details its data processing activities based on lawfulness, fairness and transparency, explaining the legal bases and the conditions that justify its data processing activities. There is a clear emphasis on data minimization as they only collect data essential for stated purposes. The policy further outlines mechanisms to ensure data accuracy by allowing users to exercise their rights in order to review, update, or delete their data.
The policy also elaborates on storage limitation, explaining the retention period for user data as well as deletion and anonymization processes post-fulfilment of data purposes. In terms of integrity and confidentiality, the policy ensures data protection via encryption and other security measures, as well as making clear the risks associated with data transmission over the Internet.
Lastly, purpose limitation is also maintained as they define and restrict the use of collected data to stated purposes only. There is a provision for obtaining an additional consent if the data is to be used for incompatible purposes."
23,100K+,Good Standard,"The privacy policy document provided by NAVIEMU PTE.LTD is of Good Standard as it aligns with the GDPR Article 5 standards. Here are specific sections aligned with each principle:
1. Lawfulness, Fairness, and Transparency: The policy is clear about its purpose, what personal information it collects, how it collects, uses it, and with whom it shares (Policy Sections: Personal Information We Collect From You, How We Obtain Your Personal Information, Our Use of Personal Information, and Our Sharing of Personal Information).
2. Purpose Limitation: The document outlines specific purposes for the data collected, such as providing products and services, personalizing user experiences, legal compliance, security, and internal research (Policy Section: Our Use of Personal Information).
3. Data Minimization: The app collects data necessary for providing its services and enhancing user experiences (Policy Section: Personal Information We Collect From You).
4. Accuracy: Users could contact the company at the provided email address to manage their data, although it is not explicitly mentioned (Policy Section: Contact Us).
5. Storage Limitation: The policy mentions retaining data for as long as reasonably necessary to fulfill the purposes or as required by law (Policy Section: Our Use of Personal Information).
6. Integrity and Confidentiality: It affirms the use of reasonably commercial physical, technical, and administrative security measures to ensure data security (Policy Section: Security of Your Personal Information). However, the policy could be improved by explicitly stating practices like encryption or regular security assessments.
It's also noticeable that the provided policy considers the local privacy laws of the users in different regions, which emphasizes the app's commitment to transparency and fair data processing (Policy Section: Additional Information for Certain Jurisdictions)."
24,100K+,Bad Standard,"The privacy policy, although clearly defines the types of data being collected, lacks transparency on the legal basis for this data processing, the purpose limitation isn't stated, measures ensuring data accuracy are absent, no information on storage limitation is given and no emphasis on the security measures taken to protect this data, including encryption and regular security assessments. The policy does not adhere to the GDPR Article 5 principles."
25,100K+,Good Standard,"The privacy policy of Tap Into Apps has demonstrated a good standard. The policy significantly adheres to GDPR Article 5. The policy is transparent, providing clear information about its basis for processing data (section 2). The document also explains the purposes of data collection, ensuring they are well-defined and limited (section 1). It also emphasizes only collecting necessary data that aligns with company needs and user consent (section 1.2). It discusses measures to ensure data accuracy and security, allowing users to update or correct their data, and outlining the use of encryption, firewalls, and password protection systems (section 8). The retention period of data is set clear, data is kept only for necessary purposes (section 4). The policy also outlines procedures in place to protect data integrity and confidentiality, including encryption and regular security assessments (section 8). However, while the policy is largely compliant, further specifics would solidify its standing, especially clarity in retention periods."
26,100K+,Good Standard,"The privacy policy of SuperGPT meets the standards as laid out by the GDPR Article 5.
- It offers lawfulness, fairness, and transparency by stating its basis for data collection and processing, and does so in an easily understandable language.
- The purposes for data collection are defined and limited as the policy clearly outlines why and how data is collected and used.
- The policy practices data minimization by specifying that only necessary data is collected for the stated purposes.
- The accuracy is maintained through the mechanisms provided to users to update or rectify their data.
- There are provisions for storage limitation, including the defined retention periods and criteria for these periods, as well as a process for data deletion when the purpose is fulfilled.
- Lastly, there are adequate security measures to ensure data integrity and confidentiality, such as use of log files for tracking, and application permissions where necessary."
27,100K+,Good Standard,"The privacy policy covers the main principles of the Good Standard Assessment as follows:
1. Lawfulness, Fairness, and Transparency: The policy clearly states its purpose for collecting user data, how that data is used and disclosed, and the user's rights regarding their information.
2. Purpose Limitation: The policy specifies the reasons for data collection and states it will not use data for incompatible uses without additional consent.
3. Data Minimization: While it does collect a wide range of data, it explains the need for each type of data, implying that it only collects what is necessary.
4. Accuracy: The policy provides mechanisms for users to update or correct their data.
5. Storage Limitation: The company retains personal data only as long as necessary and specifies clear retention periods.
6. Integrity and Confidentiality: The policy outlines the methods used to keep user data secure, though it does not go into extreme detail.
Hence, I would classify this privacy policy to be of Good Standard. However, it would be better if the company includes information about regular security assessments or the use of encryption practices."
28,100K+,Bad Standard,"The privacy policy fails to clarify several aspects required for Good Standard. These are:
1. Lawfulness, Fairness, and Transparency: The policy states that they collect personal data like a name, email address, and specific device-related information, but it doesn't clearly state the legal basis for its data processing.
2. Purpose Limitation: The policy lacks details about the purposes for collecting data. It indeed mentions their purposes include making the product experience better, but such description is too vague.
3. Data Minimization: It is not clear if the data collected is limited to what is necessary to provide the services.
4. Accuracy: The policy does not mention any measures in place for users to update or correct their data.
5. Storage Limitation: The policy does not define clear retention periods, no criteria for determining these periods, and a process for data deletion or anonymization.
Hence, due to these shortcomings, the content is labeled as Bad Standard."
29,100K+,Bad Standard,"The policy does not provide comprehensive information on several key points. While it promises local data storage and no transmission to third-parties, it does not explicitly mention a legal basis for data processing, data minimization, an accuracy mechanism for data correction, storage limitation, or security measures to protect data. Moreover, the policy states that data can be used by OpenAI without specifying the purpose and the process for obtaining consent for this additional usage. It merely directs users to a different privacy policy, which might be confusing or inaccessible."
30,100K+,Good Standard,"1. **Lawfulness, Fairness, and Transparency**: The policy clearly states its basis for data processing and how user data is collected and used. The document is also transparent and uses clear language.
2. **Purpose Limitation**: The policy defines the purposes for data collection and use. It ensures data is not used for incompatible purposes without additional consent. This is seen in the section ""Use of Your Personal Data.""
3. **Data Minimization**: The policy specifies that it collects data necessary to provide and improve their service as seen in the ""Collecting and Using Your Personal Data"" section.
4. **Accuracy**: The policy includes mechanisms for users to update or correct their data under the ""Delete Your Personal Data"" part.
5. **Storage Limitation**: The policy defines clear retention periods in the ""Retention of Your Personal Data"" section.
6. **Integrity and Confidentiality**: The policy outlines adequate security measures to protect data in the ""Security of Your Personal Data"" section, although it could further elaborate on specific practices (e.g., encryption, regular security assessments)."
31,100K+,Good Standard,"The privacy policy of the VoiceGPT App adheres to many of the principles outlined in GDPR Article 5:
1. Lawfulness, Fairness, and Transparency: The policy outlines the legal basis for data processing, disclosing openly how data is collected, utilized, and shared. The language used is simple and understandable.
2. Purpose Limitation: It is clear that the data collection is mainly for functioning of specific features like ""Share Conversation"" and ""RunGPT."" It is mentioned specifically that they do not use data for other purposes without user consent.
3. Data Minimization: The policy clarifies that they do not store any personal data related to login or registration. Data storage happens mainly when a user opts to use the ""Share Conversation"" feature.
4. Accuracy: While the policy doesn't explicitly mention measures for ensuring data accuracy, users have the right to request removal of their conversation data, which implies potential for correction.
5. Storage Limitation: The policy mentions that they do not store data beyond what is needed for the stated purpose. However, it could be improved by providing more specifics about data retention periods.
6. Integrity and Confidentiality: The policy mentions the use of industry-standard security measures to protect data. There is a procedure in place to notify users in case of a data breach.
While the policy fulfills most GDPR standards, it could be improved further by explicitly stating measures for ensuring data accuracy and defining clear data retention periods."
32,100+,Good Standard,"The privacy policy aligns with the Good Standard Assessment based on the GDPR Article 5.
- Lawfulness, Fairness, and Transparency: The policy makes it clear that the company collects personal data when using their service (Personal Data Section), in which situations it is used (Use of Your Personal Data Section) and the legal basis for processing, which includes for performance of service, with consent, and for legal obligations (Other legal requirements Section).
- Purpose Limitation: The purposes for data collection are clearly defined, such as for improving service functionality, providing security updates, and managing user requests (Use of Your Personal Data Section).
- Data Minimization: The policy specifies that the data collected is necessary to provide and improve the service, which implies data minimization.
- Accuracy: User data can be updated or corrected (Delete Your Personal Data Section), promoting accuracy.
- Storage Limitation: The policy also outlines the retention period of personal data, which is only as long as necessary to fulfill the stated purposes (Retention of Your Personal Data Section).
- Integrity and Confidentiality: The policy indicates a commitment to secure personal data, even though it is unable to guarantee 100% security (Security of Your Personal Data Section).
Thus, based on these sections, it conforms to the GDPR Article 5 principles."
33,100+,Good Standard,"This privacy policy seems to fall into a 'Good Standard' category based on the GDPR's guidelines for Privacy Policies' quality criteria. The reasons are as follows:
1. Lawfulness, Fairness, and Transparency:: The policy clearly states how data is collected, used, and how the user can control their data. The request for user consent is noted multiple times.
2. Purpose Limitation: The policy lists specific purposes for which the data will be used, which are not broad or open-ended.
3. Data Minimization: While the policy does mention that it collects user data, it is limited to what is required for the functionality of the service.
4. Accuracy: There are measures mentioned that allow users to update or correct their data.
5. Storage Limitation: The document explains how long data will be stored and emphasizes that data will be retained only for as long as necessary.
6. Integrity and Confidentiality: The policy indicates that while absolute security cannot be guaranteed, they strive to use commercially acceptable means to protect personal data."
34,100+,Bad Standard,"The privacy policy does not comply fully with the standards of Good assessment. Here is why:
1. ""Lawfulness, fairness, and transparency"": While the policy mentions the collection of data, it does not clearly outline its legal basis for processing both personal and non-personal data.
2. ""Purpose Limitation"": There's a broad scope of data usage which includes analytics, advertisement serving, and service development, but it does not clarify the exact purpose of data collection.
3. ""Data Minimization"": The policy fails to mention what specific data is needed for providing services or improving products. The data collected seems to extend beyond what appears to be necessary.
4. ""Accuracy"": There's no mention of the user having any option to update or rectify their data.
5. ""Storage Limitation"": Policy fails to provide information on data retention periods.
6. ""Integrity and Confidentiality"": While the policy states that it attempts to protect the user data with commercially acceptable means and that there is always a risk, it does not clearly detail what these measures include. Encryption or security assessments are not specified explicitly."
35,50M+,Bad Standard,"The document is written in a language (Vietnamese), which I cannot understand. Therefore, it is not possible to evaluate it based on the criteria mentioned above. An English version of the privacy policy is needed in order to proceed with the assessment."
36,50M+,Bad Standard,"The document is written in a language (Vietnamese), which I cannot understand. Therefore, it is not possible to evaluate it based on the criteria mentioned above. An English version of the privacy policy is needed in order to proceed with the assessment."
37,50K+,Good Standard,"The privacy policy appears to meet the criteria of a Good Standard Assessment. It provides a comprehensive explanation regarding the data it collects (Personal Information, Device Information, Usage Information) and explicitly states the purposes of data usage. The policy mentions data security measures to maintain the integrity and confidentiality of users' data, though it notes that no measures can guarantee 100% security. It outlines the retention of the data as long as necessary to fulfill the purposes for which it was collected, legal obligations, resolution of disputes, and enforcement of their policies, demonstrating an emphasis on storage limitation. It gives users the option to not provide certain information or to delete their account. It also states the means of contact for any data corrections. However, it could improve by providing more details on the specificity of data minimization and the mechanisms for data accuracy."
38,50K+,Good Standard,"The policy includes the following elements:
1. Lawfulness, Fairness, and Transparency: The policy clearly states its legal basis for data processing in compliance with GDPR and the Data Protection Act 1998. It explains in clear language how it collects, uses, and shares user data.
2. Purpose Limitation: The policy defines the purpose of data collection as to deliver the services of their products and mobile applications and clearly states they don't share user data with third parties for other purposes.
3. Data Minimization: The policy lists the specific types of data collected but is careful to note that it collects only necessary information such as the photograph needed to generate the user's content with explicit permission.
4. Accuracy: The policy allows users to delete their data, which implies an opportunity to update or correct them.
5. Storage Limitation: Though not explicitly mentioned, the policy states that photos used to generate content are not stored indicating that unnecessary data storage doesn't happen.
6. Integrity and Confidentiality: The policy emphasizes that they do not misuse user data and includes an email address for privacy-related inquiries showing a commitment to safeguarding user data."
39,50K+,Good Standard,"The privacy policy of ShivaTech.in demonstrates a good standard as it covers all the major aspects of the GDPR Article 5 standards.
- Lawfulness, Fairness and Transparency: The policy provides clear consent procedures and gives a comprehensive overview of the types of data collected.
- Purpose Limitation: The uses of collected information are clearly articulated, with a defined purpose for each type of data collection.
- Data Minimization: The policy highlights that only necessary information is collected, though the specific emphasis on ""necessary data"" could be included for a better standard.
- Accuracy: ShivaTech.in offers users the right to rectification of data, enabling them to update or correct information.
- Storage Limitation: The policy does not clearly mention data retention periods or deletion procedures, this information could be made more clear.
- Integrity and Confidentiality: While the policy does not specifically reference security measures like encryption, it does incorporate the provision of GDPR and CCPA rights, showing an effort toward information security. Still, more specifics on data security measures would make it even better. Overall, despite some areas for improvement, the policy generally meets the GDPR Article 5 standards."
40,50K+,Good Standard,"The privacy policy provided by Pixster Studio incorporates several elements of the Good Standard Assessment.
1. Lawfulness, Fairness, and Transparency: The policy outlines the basis for data collection, including registration, direct user input, information from third-party applications, and automatic data collection. It details how data is used, outlining various purposes such as service improvement, communication, advertising, fraud detection, and legal compliance.
2. Purpose Limitation: The policy clearly states the purposes for which data is collected and used, ensuring data is not used for unrelated purposes.
3. Data Minimization: The policy specifies that only necessary data is collected, and only shares user data in rare cases with trusted business partners or allows it upon government request.
4. Accuracy: Users have the right to make changes to their data at any time using the application, ensuring the accuracy of their data.
5. Storage Limitation: It specifies that data will be retained while the user utilizes their service, and once an account is deleted from the application, the respective data will be removed.
6. Integrity and Confidentiality: Pixster Studio has adopted adequate security measures to protect data, including implementing appropriate technical and organizational measures. They secure their systems against unauthorized access, modification, or distribution of data, and assure clients of their commitment to maintaining their privacy.
The document could be improved by giving clearer definitions of their data retention periods and security measures, however, it generally adheres well to GDPR Article 5 guidelines."
41,50K+,Good Standard,"The privacy policy provides a comprehensive and transparent outline of how user information is collected, used, and shared. It adheres to Lawfulness, Fairness, and Transparency by clearly stating its legal and fair basis for data processing and making the policy simple for users to understand (Sections: 1, 2, 3, 6, 7, 8). It demonstrates Purpose Limitation by specifying exclusive purposes for collecting data, underlining it won't be used for incompatible purposes without additional consent (Section: 2). Data Minimization is present as it collects only necessary data (Sections: 1, 6 and 7). The policy ensures Accuracy by providing users a chance to update or correct their information (Section: 5). It highlights Storage Limitation by clarifying retention periods and data deletion post-purpose fulfillment (Sections: 7, 8). It commits to Integrity and Confidentiality through rigorous security measures, including encryption (Section: 6)."
